Blaker Kinser Junior High School,,CA
Bloomer High School,,WI
Bloomington High School North,,IN
Bloomington High School South,,IN
Blue Valley North High School,,KS
Bluffton High School,,SC
Bob Miller Middle School,,NV
Boca Raton Community High School,,FL
Bonham Middle School,,TX
Bonny Eagle Middle School,,ME
Boston Latin School,,MA
Boston Middle School,,IN
Boston University Academy,,MA
Bothell High School,,WA
Boulan Park Middle School,,MI
Bowditch Middle School,,CA
Bowman County School,,ND
Box Elder High School,,MT
Boyceville High School,,WI
Boyceville Middle School,,WI
Bozeman High School,,MT
Brandon Middle School,,MS
Brandywine High School,,DE
Brandywine Springs Middle School,,DE
Branford High School,,CT
Bravo Medical Magnet High School,,CA
Brazoswood High School,,TX
Brea Junior High School,,CA
Brea Olinda High School,,CA
Brecksville-Broadview Heights High School,,OH
Brentwood High School,,NY
Brentwood High School,,TN
Brentwood Middle School,,TN
Briar Woods High School,,VA
Bridgewater-Raritan High School,,NJ
Brighton High School,,MI
Brighton High School,,NY
Broad Run High School,,VA
Brockport High School,,NY
Bronx High School of Science,,NY
Brookfield Central High School,,WI
Brookfield East High School,,WI
Brookings High School,,SD
Brooklyn Amity School,,NY
Brooklyn Technical High School,,NY
Brookwood High School,,GA
Brother Joseph C. Fox Latin School,,NY
Brown County Junior High School,,IN
Browning High School,,MT
Brush High School,,OH
Buchanan High School,,CA
Buchanan High School,,MI
Buckeye Junior High School,,OH
Buckley School,,NY
Buffalo Grove High School,,IL
Burleigh Manor Middle School,,MD
Burlington-Edison High School,,WA
Butternut High School,,WI
Butternut Middle School,,WI
Buzz Aldrin Middle School,,NJ
Byram Hills High School,,NY
Byron Center High School,,MI
C.J. Hooker Middle School,,NY
C.O.A.C.Homeschoolers,,MI
C.P. Weber Middle School,,NY
C.R. Anderson Middle School,,MT
C.S. Driver Middle School,,NY
Cab Calloway School of the Arts,,DE
Cabell Midland High School,,WV
Cabin John Middle School,,MD
Cadillac Senior High School,,MI
Caesar Rodney High School,,DE
California High School,San Ramon,CA
California Trail Junior High School,,KS
California Trail Middle School,,KS
Calkins Road Middle School,,NY
Calumet High School,,MI
Camas High School,,WA
Cambridge High School,,WI
Cambridge Rindge and Latin School,,MA
Camden High School,,NY
Campbell County High School,,WY
Campbell Middle School,,GA
Campbellsport Middle-High School,,WI
Canal Winchester Middle School,,OH
Canastota Junior/Senior High School,,NY
Canisius High School,,NY
Canton Charter Academy,,MI
Canton High School,,MI
Canton High School,,NY
Canyon Crest Academy,,CA
Canyon High School,,CA
Canyon Middle School,,CA
Canyon Park Junior High School,,WA
Cape Henlopen High School,,DE
Capistrano Valley High School,,CA
Capital High School,,ID
Capital High School,,MT
Caravel Academy,,DE
Cardinal Gibbons High School,,FL
Carl H. Kumpf Middle School,,NJ
Carlisle Middle School,,IN
Carmel High School,,CA
Carmel High School,,IN
Carmel Middle School,,CA
Carmel Valley Middle School,,CA
Carnage Magnet Middle School,,NC
Carrington Middle School,,ND
Carter County High School,,MT
Carthage High School,,NY
Cary Academy,,NC
Cary-Grove High School,,IL
Casa Grande High School,,CA
Casady Middle School,,OK
Casady School,,OK
Cascade Junior/Senior High School,,ID
Castro Valley High School,,CA
Catalina Foothills High School,,AZ
Cathedral High School,,MS
Catlin Gabel School,,OR
Cato-Meridian High School,,NY
Catoctin High School,,MD
Cedar Cliff High School,,PA
Cedar Ridge High School,,NC
Cedar Springs Home School,,TN
Cedar Springs Homeschool,,TN
Cedarcrest High School,,WA
Centennial High School,,MD
Centennial High School,,NV
Centereach High School,,NY
Centerville High School,,MT
Centerville High School,,OH
Centerville Junior High School,,CA
Centerville Junior High School,,MT
Centerville Middle School,,MT
Central Bucks High School South,,PA
Central Falls High School,,RI
Central High School,,WY
Central Jersey College Prep Charter School,,NJ
Central Magnet School,,TN
Central Texas Science Team,,TX
Central Valley High School,,WA
Central York High School,,PA
Centreville High School,,VA
Cerritos High School,,CA
Chaboya Middle School,,CA
Chadbourne Elementary School,,CA
Chagrin Falls High School,,OH
Chamblee Charter High School,,GA
Chamblee Middle School,,GA
Chaminade High School,,NY
Chandler Woods Charter Academy,,MI
Change Co-Op Home School,,CT
Chantilly High School,,VA
Chaparral High School,,CA
Chaparral Middle School,,CA
Chapel Hill High School,,NC
Chapin High School,,SC
Chapin Middle School,,SC
Chapin School,,NJ
Chapin School,,NY
Chardon High School,,OH
Chardon Middle School,,OH
Chariho High School,,RI
Chariho Middle School,,RI
Charles F. Brush High School,,OH
Charles H. Barrows STEM Academy,,CT
Charles W. Baker High School,,NY
Charlotte Catholic High School,,NC
Charlottesvile High School,,VA
Charlottesville High School,,VA
Charter School of Wilmington,,DE
Chateaugay Central School,,NY
Chattahoochee High School,,GA
